,단어,빈도
0,수,7241
1,경우,6826
2,신청,5799
3,및,5161
4,것,4983
5,신고,4809
6,알,4528
7,하나요,4516
8,등,4035
9,무엇,4015
10,방법,3878
11,시,3867
12,제,3863
13,관련,3835
14,사업,3758
15,문의,3737
16,사용,3289
17,학교,3263
18,대해,2855
19,등록,2849
20,절차,2648
21,시설,2521
22,서류,2512
23,기준,2499
24,내용,2484
25,확인,2431
26,변경,2430
27,발급,2411
28,대한,2405
29,관리,2397
30,후,2263
31,처리,2202
32,지원,2100
33,민원,2076
34,중,2073
35,대상,2049
36,이,2013
37,기간,1990
38,때,1964
39,이용,1961
40,해당,1941
41,교육,1926
42,설치,1918
43,허가,1874
44,운영,1860
45,요청,1754
46,위,1748
47,여부,1635
48,비,1630
49,사항,1574
50,법,1568
51,사업자,1502
52,정보,1468
53,지역,1457
54,지급,1453
55,학생,1418
56,현재,1402
57,차량,1368
58,관,1364
59,발생,1302
60,발표,1272
61,그,1271
62,내,1248
63,저,1247
64,제출,1215
65,주택,1200
66,안전,1181
67,공사,1168
68,조치,1150
69,사람,1141
70,기관,1134
71,개인,1119
72,대하,1103
73,다른,1086
74,를,1084
75,계획,1081
76,시간,1071
77,세부,1066
78,공무원,1045
79,위원회,1037
80,판매,1036
81,업체,1026
82,불법,1005
83,적용,1004
84,언제,1001
85,업,1000
86,일,986
87,위해,973
88,자격,971
89,선박,970
90,이상,967
91,주민,952
92,소득,950
93,시행,946
94,증명서,938
95,아파트,937
96,아이,933
97,전,922
98,업무,921
99,답변,915
100,납부,907
101,어디,906
102,곳,904
103,계약,903
104,주차,900
105,위반,900
106,규정,892
107,구역,886
108,유치원,880
109,서비스,877
110,생각,871
111,진행,862
112,의,862
113,자녀,855
114,코로나,854
115,행위,853
116,검사,849
117,근무,845
118,안내,836
119,항만,833
120,도로,826
121,자료,821
122,결과,818
123,포함,793
124,차,787
125,번호,782
126,상황,781
127,금액,778
128,복무,778
129,입,777
130,항,764
131,지정,760
132,센터,753
133,물,735
134,시험,730
135,말,728
136,가족,721
137,한국,720
138,교사,717
139,방송,717
140,문제,714
141,요,714
142,회사,712
143,의무,708
144,질의,697
145,표시,696
146,본인,696
147,여권,695
148,국가,693
149,인터넷,690
150,초등학교,684
151,이유,683
152,청구,680
153,외국인,680
154,거주,676
155,광고,673
156,현황,673
157,과정,673
158,인정,672
159,구비,671
160,평가,671
161,제한,669
162,제품,667
163,경력,662
164,로,661
165,요건,659
166,개발,650
167,집,649
168,용,647
169,연구,643
170,금,642
171,어업,642
172,방통위,631
173,학원,630
174,장애인,629
175,동의,629
176,방문,628
177,가입,628
178,피해,624
179,조사,621
180,금지,621
181,시기,619
182,다시,617
183,단속,617
184,취득,615
185,앞,612
186,제도,610
187,인지,609
188,사회,609
189,보호,608
190,범위,608
191,사실,605
192,개,603
193,상태,596
194,도서관,593
195,기술,588
196,실시,587
197,법인,587
198,왜,585
199,부과,579
200,대상자,579
201,일반,574
202,가능,574
203,건물,572
204,재,571
205,정도,570
206,점,569
207,추가,568
208,접수,567
209,제공,566
210,훈련,566
211,세금,565
212,환경,563
213,사고,560
214,교육청,560
215,부분,555
216,안,554
217,해양,551
218,영업,550
219,때문,548
220,종류,548
221,사유,548
222,현장,543
223,개선,543
224,이전,541
225,등록증,535
226,저희,532
227,해외,528
228,개월,527
229,임대,526
230,카드,526
231,란,526
232,더,525
233,명,524
234,계속,519
235,위치,518
236,생활,518
237,승인,518
238,또한,508
239,가지,508
240,사진,506
241,예정,506
242,참여,502
243,가요,501
244,관계,492
245,수당,489
246,대출,488
247,과세,488
248,이후,487
249,요금,487
250,기존,482
251,교습,482
252,이해,481
253,거래,481
254,통해,476
255,급,473
256,건축물,469
257,신규,469
258,식품,466
259,전화,466
260,모두,465
261,과태료,464
262,중학교,464
263,학년,464
264,국내,463
265,자동차,459
266,직원,459
267,보험,451
268,입학,450
269,비자,450
270,기초,449
271,배출,448
272,별,448
273,활동,447
274,건설,445
275,면허,444
276,함,441
277,지금,437
278,입찰,437
279,인,435
280,공제,433
281,번,432
282,토지,431
283,급여,431
284,작성,426
285,채용,424
286,료,422
287,표지,422
288,소,421
289,휴직,421
290,졸업,420
291,조건,418
292,교원,418
293,프로그램,417
294,선정,412
295,못,412
296,목적,411
297,명의,409
298,결제,409
299,법률,407
300,공원,407
301,인증,406
302,행정,405
303,정,404
304,구매,403
305,수입,403
306,직접,402
307,요원,402
308,처벌,401
309,공유,400
310,보고,399
311,온라인,399
312,주민등록,399
313,폐기물,398
314,연장,398
